RegionalMember,Year,Inflation,Unit of Measurement, Subregion, Country Code
Developing Asia,2020,3.2,%,,
Developing Asia,2021,2.6,%,,
Developing Asia,2022,4.4,%,,
Developing Asia,2023 Forecast (ADO Apr 2023),4.2,%,,
Developing Asia,2023 Forecast (ADO Sep 2023),3.6,%,,
Developing Asia,2024 Forecast (ADO Apr 2023),3.3,%,,
Developing Asia,2024 Forecast (ADO Sep 2023),3.5,%,,
Developing Asia excluding the PRC,2020,3.9,%,,
Developing Asia excluding the PRC,2021,4.2,%,,
Developing Asia excluding the PRC,2022,6.7,%,,
Developing Asia excluding the PRC,2023 Forecast (ADO Apr 2023),6.2,%,,
Developing Asia excluding the PRC,2023 Forecast (ADO Sep 2023),6.3,%,,
Developing Asia excluding the PRC,2024 Forecast (ADO Apr 2023),4.4,%,,
Developing Asia excluding the PRC,2024 Forecast (ADO Sep 2023),4.9,%,,
Caucasus and Central Asia,2020,7.7,%,Caucasus and Central Asia,
Caucasus and Central Asia,2021,9,%,Caucasus and Central Asia,
Caucasus and Central Asia,2022,12.9,%,Caucasus and Central Asia,
Caucasus and Central Asia,2023 Forecast (ADO Apr 2023),10.3,%,Caucasus and Central Asia,
Caucasus and Central Asia,2023 Forecast (ADO Sep 2023),10.6,%,Caucasus and Central Asia,
Caucasus and Central Asia,2024 Forecast (ADO Apr 2023),7.5,%,Caucasus and Central Asia,
Caucasus and Central Asia,2024 Forecast (ADO Sep 2023),8,%,Caucasus and Central Asia,
Armenia,2020,1.2,%,Caucasus and Central Asia,ARM
Armenia,2021,7.2,%,Caucasus and Central Asia,ARM
Armenia,2022,8.6,%,Caucasus and Central Asia,ARM
Armenia,2023 Forecast (ADO Apr 2023),7,%,Caucasus and Central Asia,ARM
Armenia,2023 Forecast (ADO Sep 2023),4,%,Caucasus and Central Asia,ARM
Armenia,2024 Forecast (ADO Apr 2023),6.2,%,Caucasus and Central Asia,ARM
Armenia,2024 Forecast (ADO Sep 2023),5.5,%,Caucasus and Central Asia,ARM
Azerbaijan,2020,2.8,%,Caucasus and Central Asia,AZE
Azerbaijan,2021,6.7,%,Caucasus and Central Asia,AZE
Azerbaijan,2022,13.9,%,Caucasus and Central Asia,AZE
Azerbaijan,2023 Forecast (ADO Apr 2023),7,%,Caucasus and Central Asia,AZE
Azerbaijan,2023 Forecast (ADO Sep 2023),10,%,Caucasus and Central Asia,AZE
Azerbaijan,2024 Forecast (ADO Apr 2023),6.5,%,Caucasus and Central Asia,AZE
Azerbaijan,2024 Forecast (ADO Sep 2023),8.5,%,Caucasus and Central Asia,AZE
Georgia,2020,5.2,%,Caucasus and Central Asia,GEO
Georgia,2021,9.6,%,Caucasus and Central Asia,GEO
Georgia,2022,11.9,%,Caucasus and Central Asia,GEO
Georgia,2023 Forecast (ADO Apr 2023),6,%,Caucasus and Central Asia,GEO
Georgia,2023 Forecast (ADO Sep 2023),3,%,Caucasus and Central Asia,GEO
Georgia,2024 Forecast (ADO Apr 2023),4,%,Caucasus and Central Asia,GEO
Georgia,2024 Forecast (ADO Sep 2023),3.5,%,Caucasus and Central Asia,GEO
Kazakhstan,2020,6.8,%,Caucasus and Central Asia,KAZ
Kazakhstan,2021,8,%,Caucasus and Central Asia,KAZ
Kazakhstan,2022,15,%,Caucasus and Central Asia,KAZ
Kazakhstan,2023 Forecast (ADO Apr 2023),11.8,%,Caucasus and Central Asia,KAZ
Kazakhstan,2023 Forecast (ADO Sep 2023),12.7,%,Caucasus and Central Asia,KAZ
Kazakhstan,2024 Forecast (ADO Apr 2023),6.4,%,Caucasus and Central Asia,KAZ
